ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,url,Code_insee
Batz-sur-Mer,4584.0,2251.0,7165.0,5071.0,2028.0,10141.0,13.9,9.4,19.7,14.4,9.9,19.2,https://www.meilleursagents.com/prix-immobilier/batz-sur-mer-44740/,44010
La Bernerie-en-Retz,4950.0,3119.0,7463.0,4534.0,2360.0,8431.0,13.6,10.2,19.5,13.8,10.8,18.3,https://www.meilleursagents.com/prix-immobilier/la-bernerie-en-retz-44760/,44012
Besné,2486.0,1544.0,3434.0,2466.0,1115.0,3825.0,12.6,8.7,17.5,12.0,7.2,14.2,https://www.meilleursagents.com/prix-immobilier/besne-44160/,44013
Le Bignon,3359.0,2605.0,4340.0,2660.0,1064.0,3728.0,13.9,10.2,18.4,13.1,9.2,17.0,https://www.meilleursagents.com/prix-immobilier/le-bignon-44140/,44014
Blain,1960.0,1395.0,2551.0,2092.0,883.0,3193.0,11.1,8.2,17.2,11.9,7.1,16.6,https://www.meilleursagents.com/prix-immobilier/blain-44130/,44015
Saint Emilien de Blain,1960.0,1395.0,2551.0,2092.0,883.0,3193.0,11.1,8.2,17.2,11.9,7.1,16.6,https://www.meilleursagents.com/prix-immobilier/saint-emilien-de-blain-44130/,44015
Saint Omer de Blain,1960.0,1395.0,2551.0,2092.0,883.0,3193.0,11.1,8.2,17.2,11.9,7.1,16.6,https://www.meilleursagents.com/prix-immobilier/saint-omer-de-blain-44130/,44015
La Boissière-du-Doré,1763.0,1030.0,3223.0,1945.0,778.0,2626.0,10.6,6.8,17.0,10.1,6.9,13.5,https://www.meilleursagents.com/prix-immobilier/la-boissiere-du-dore-44430/,44016
Bouaye,3240.0,2480.0,4314.0,2956.0,1390.0,4356.0,12.5,9.6,16.2,13.4,9.2,18.0,https://www.meilleursagents.com/prix-immobilier/bouaye-44830/,44018
Bouée,2595.0,1403.0,3835.0,2296.0,918.0,3557.0,12.4,9.2,16.9,12.5,8.0,16.3,https://www.meilleursagents.com/prix-immobilier/bouee-44260/,44019
Villeneuve-en-Retz,2686.0,1605.0,3628.0,2453.0,981.0,3939.0,12.8,8.1,22.9,12.7,8.8,15.4,https://www.meilleursagents.com/prix-immobilier/bourgneuf-en-retz-44580/,44021
Villeneuve-en-Retz,2686.0,1605.0,3628.0,2453.0,981.0,3939.0,12.8,8.1,22.9,12.7,8.8,15.4,https://www.meilleursagents.com/prix-immobilier/fresnay-en-retz-44580/,44021
Saint Cyr En Retz,2686.0,1605.0,3628.0,2453.0,981.0,3939.0,12.8,8.1,22.9,12.7,8.8,15.4,https://www.meilleursagents.com/prix-immobilier/saint-cyr-en-retz-44580/,44021
Boussay,2389.0,1682.0,3181.0,1992.0,797.0,3240.0,10.1,7.3,17.8,10.2,6.8,12.9,https://www.meilleursagents.com/prix-immobilier/boussay-44190/,44022
Bouvron,2001.0,1407.0,2696.0,2020.0,896.0,3511.0,12.4,9.2,20.5,12.0,7.7,16.4,https://www.meilleursagents.com/prix-immobilier/bouvron-44130/,44023
Brains,3038.0,2077.0,3714.0,2691.0,1319.0,3684.0,13.4,9.3,18.2,11.0,6.6,14.3,https://www.meilleursagents.com/prix-immobilier/brains-44830/,44024
Campbon,2533.0,1516.0,3526.0,2232.0,995.0,3503.0,12.5,9.0,19.1,11.5,7.2,15.3,https://www.meilleursagents.com/prix-immobilier/campbon-44750/,44025
