code_insee,Code_postal,Departement
49301,49660,Maine-et-Loire
49301,49710,Maine-et-Loire
49302,49260,Maine-et-Loire
49306,49170,Maine-et-Loire
49307,49140,Maine-et-Loire
49307,49250,Maine-et-Loire
49307,49630,Maine-et-Loire
49307,49800,Maine-et-Loire
49307,49800,Maine-et-Loire
49307,49800,Maine-et-Loire
49307,49800,Maine-et-Loire
49308,49610,Maine-et-Loire
49310,49310,Maine-et-Loire
49311,49160,Maine-et-Loire
49323,49112,Maine-et-Loire
49323,49480,Maine-et-Loire
49326,49800,Maine-et-Loire
49328,49400,Maine-et-Loire
49328,49400,Maine-et-Loire
49328,49400,Maine-et-Loire
49328,49400,Maine-et-Loire
49328,49400,Maine-et-Loire
49329,49170,Maine-et-Loire
49329,49170,Maine-et-Loire
49330,49330,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49500,Maine-et-Loire
49331,49520,Maine-et-Loire
49331,49520,Maine-et-Loire
49331,49520,Maine-et-Loire
49332,49280,Maine-et-Loire
49333,49140,Maine-et-Loire
49333,49140,Maine-et-Loire
49334,49140,Maine-et-Loire
49336,49360,Maine-et-Loire
49338,49610,Maine-et-Loire
49339,49460,Maine-et-Loire
49341,49400,Maine-et-Loire
49343,49280,Maine-et-Loire
49344,49220,Maine-et-Loire
49345,49380,Maine-et-Loire
49345,49380,Maine-et-Loire
49345,49380,Maine-et-Loire
49345,49380,Maine-et-Loire
49345,49750,Maine-et-Loire
49347,49125,Maine-et-Loire
49352,49360,Maine-et-Loire
49353,49800,Maine-et-Loire
49355,49340,Maine-et-Loire
49358,49730,Maine-et-Loire
49359,49700,Maine-et-Loire
49361,49730,Maine-et-Loire
49362,49400,Maine-et-Loire
49364,49260,Maine-et-Loire
49367,49220,Maine-et-Loire
49367,49220,Maine-et-Loire
49367,49220,Maine-et-Loire
49367,49370,Maine-et-Loire
49368,49390,Maine-et-Loire
49369,49390,Maine-et-Loire
49370,49400,Maine-et-Loire
49371,49340,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49310,Maine-et-Loire
49373,49540,Maine-et-Loire
49373,49540,Maine-et-Loire
49373,49560,Maine-et-Loire
49374,49400,Maine-et-Loire
49377,49140,Maine-et-Loire
49377,49140,Maine-et-Loire
49378,49680,Maine-et-Loire
49381,49360,Maine-et-Loire
53001,53940,Mayenne
53002,53240,Mayenne
53003,53300,Mayenne
53003,53300,Mayenne
53005,53240,Mayenne
53007,53210,Mayenne
53008,53440,Mayenne
53009,53170,Mayenne
53010,53600,Mayenne
53011,53230,Mayenne
53012,53400,Mayenne
53013,53700,Mayenne
53015,53240,Mayenne
53016,53160,Mayenne
53017,53340,Mayenne
53017,53340,Mayenne
53018,53350,Mayenne
53019,53340,Mayenne
53021,53440,Mayenne
53022,53170,Mayenne
53023,53470,Mayenne
53025,53170,Mayenne
53026,53320,Mayenne
53027,53290,Mayenne
53028,53440,Mayenne
53029,53290,Mayenne
53029,53290,Mayenne
53029,53290,Mayenne
53029,53290,Mayenne
53030,53170,Mayenne
53031,53240,Mayenne
53033,53800,Mayenne
53034,53960,Mayenne
53035,53800,Mayenne
53036,53290,Mayenne
53037,53290,Mayenne
53038,53370,Mayenne
53039,53410,Mayenne
53040,53410,Mayenne
53041,53350,Mayenne
53042,53120,Mayenne
53043,53150,Mayenne
53045,53410,Mayenne
53046,53170,Mayenne
53047,53120,Mayenne
53048,53420,Mayenne
53049,53470,Mayenne
53051,53640,Mayenne
53052,53370,Mayenne
53053,53160,Mayenne
53054,53810,Mayenne
53055,53300,Mayenne
53056,53950,Mayenne
53057,53440,Mayenne
53058,53230,Mayenne
53059,53150,Mayenne
53061,53250,Mayenne
53062,53200,Mayenne
53062,53200,Mayenne
53062,53200,Mayenne
53062,53200,Mayenne
53063,53200,Mayenne
53064,53100,Mayenne
53066,53200,Mayenne
53067,53340,Mayenne
53068,53400,Mayenne
53069,53250,Mayenne
53071,53120,Mayenne
53072,53470,Mayenne
53073,53800,Mayenne
53074,53100,Mayenne
53075,53230,Mayenne
53076,53340,Mayenne
