ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Loire-Authion,2398,1448,3488,2635,1173,4105,11.7,8.4,17.3,11.9,9.4,16,0.5112,49307,49140,Maine-et-Loire,"Loire-Authion, Maine-et-Loire, France"
Saint-Melaine-sur-Aubance,2861,2205,3754,3055,1758,4697,13,8.9,19.2,12,8.1,16.4,0.4569,49308,49610,Maine-et-Loire,"Saint-Melaine-sur-Aubance, Maine-et-Loire, France"
Saint-Paul-du-Bois,2244,1824,2760,1237,495,2468,11.3,8.2,19.8,9.7,6.3,12.6,0.4374,49310,49310,Maine-et-Loire,"Saint-Paul-du-Bois, Maine-et-Loire, France"
Saint-Philbert-du-Peuple,1897,1130,3794,1819,857,3165,10.7,7.9,19.2,10,8,13.1,0.4168,49311,49160,Maine-et-Loire,"Saint-Philbert-du-Peuple, Maine-et-Loire, France"
Verrières-en-Anjou,2672,1836,3479,2937,1605,4349,12.8,9.1,21.1,13.6,10.8,18.5,0.5662,49323,49112,Maine-et-Loire,"Verrières-en-Anjou, Maine-et-Loire, France"
Sarrigné,2620,1722,3439,2554,1327,3878,11.9,9,17.7,11.5,8.6,16.2,0.5171,49326,49800,Maine-et-Loire,"Sarrigné, Maine-et-Loire, France"
Saumur,1873,989,3022,2148,950,3591,10.7,7.2,18.1,11,7.9,16.4,0.4879,49328,49400,Maine-et-Loire,"Saumur, Maine-et-Loire, France"
Savennières,2735,1716,4078,2900,1160,5230,13.1,10.2,23.3,12.5,8.8,16.9,0.5244,49329,49170,Maine-et-Loire,"Savennières, Maine-et-Loire, France"
Sceaux-d'Anjou,2096,1535,2835,2372,949,4024,10.3,8.3,14.2,12.8,8.7,15.2,0.4612,49330,49330,Maine-et-Loire,"Sceaux-d'Anjou, Maine-et-Loire, France"
Aviré,1851,875,3455,1591,636,2790,9.9,6,16,10.8,8.1,16.5,0.4613,49014,49500,Maine-et-Loire,"Aviré, Maine-et-Loire, France"
La Séguinière,2168,1343,3110,2250,981,3403,11.6,8.1,20.8,11.4,7.9,15.4,0.4234,49332,49280,Maine-et-Loire,"La Séguinière, Maine-et-Loire, France"
