ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo
Denée,2805,1811,3788,2568,1027,4572,12.8,9.7,19.7,12.2,9.5,16.8,0.4914,49120,49190,Maine-et-Loire,"Denée, Maine-et-Loire, France"
Dénezé-sous-Doué,2036,1247,4072,1945,778,3889,9.6,8.2,17.4,9.3,5.2,11.9,0.5273,49121,49700,Maine-et-Loire,"Dénezé-sous-Doué, Maine-et-Loire, France"
Distré,2738,1849,3761,2283,913,3376,11.8,9,19.1,12.2,8.6,16,0.414,49123,49400,Maine-et-Loire,"Distré, Maine-et-Loire, France"
Brigné,1853,1161,3706,2019,808,3034,11.2,7.5,18.7,10,5.6,13,0.504,49047,49700,Maine-et-Loire,"Brigné, Maine-et-Loire, France"
Durtal,1935,912,2258,1603,641,3000,9.1,6.2,16.1,9.6,6.8,13,0.4973,49127,49430,Maine-et-Loire,"Durtal, Maine-et-Loire, France"
Écouflant,3078,2266,3819,2833,1651,4319,12.1,8,18.6,13.4,10.8,18.2,0.4504,49129,49000,Maine-et-Loire,"Écouflant, Maine-et-Loire, France"
Écuillé,2301,1592,3063,2536,1206,4229,10.3,8,13.1,12.2,9.9,15.9,0.4875,49130,49460,Maine-et-Loire,"Écuillé, Maine-et-Loire, France"
Épieds,1590,1152,2432,1683,739,2554,11.1,7.8,19.6,8.8,5,11.5,0.4608,49131,49260,Maine-et-Loire,"Épieds, Maine-et-Loire, France"
Étriché,2105,1646,2797,2029,812,3551,10.5,8.4,14.1,10.9,7.7,13,0.523,49132,49330,Maine-et-Loire,"Étriché, Maine-et-Loire, France"
Feneu,2712,1768,3470,2626,1051,4667,12.4,9.4,16.9,12.3,8.6,17.2,0.5035,49135,49460,Maine-et-Loire,"Feneu, Maine-et-Loire, France"
Les Bois d'Anjou,2274,1197,4547,1896,759,3458,9.1,6.7,16.4,9.6,7.1,13.2,0.5238,49138,49250,Maine-et-Loire,"Les Bois d'Anjou, Maine-et-Loire, France"
Fontevraud-l'Abbaye,2280,1376,2926,1571,628,2802,10.2,8.5,12.3,9.2,6.7,12.8,0.4144,49140,49590,Maine-et-Loire,"Fontevraud-l'Abbaye, Maine-et-Loire, France"
Grez-Neuville,2676,1643,3459,2753,1134,4612,12.2,9.3,18.3,12.8,10.7,17.8,0.4606,49155,49220,Maine-et-Loire,"Grez-Neuville, Maine-et-Loire, France"
Ingrandes-Le Fresne sur Loire,2103,945,3459,2128,851,3313,11,6.8,17.2,11.4,7.8,14.2,0.4335,49160,49123,Maine-et-Loire,"Ingrandes-Le Fresne sur Loire, Maine-et-Loire, France"
La Jaille-Yvon,2341,1537,3128,1980,792,3961,12.2,9.6,17.2,11.3,8.3,16.3,0.4352,49161,49220,Maine-et-Loire,"La Jaille-Yvon, Maine-et-Loire, France"
Jarzé Villages,2147,1336,4294,2004,802,3180,10.9,7.7,19.4,9.2,5.9,11.2,0.4995,49163,49140,Maine-et-Loire,"Jarzé Villages, Maine-et-Loire, France"
Saint-Jean-des-Mauvrets,2725,1969,3581,2891,1166,4324,13.1,10.1,18.1,13.6,9.1,18.8,0.4453,49290,49320,Maine-et-Loire,"Saint-Jean-des-Mauvrets, Maine-et-Loire, France"
Juvardeil,2041,1515,2805,2163,879,4326,12.2,7.9,20.8,9.6,7.3,13.4,0.4887,49170,49330,Maine-et-Loire,"Juvardeil, Maine-et-Loire, France"
La Lande-Chasles,2060,1139,4120,1945,846,3400,9.6,6.6,15.4,10.1,7.7,13.6,0.4037,49171,49150,Maine-et-Loire,"La Lande-Chasles, Maine-et-Loire, France"
Huillé,2026,1527,2664,1743,697,2860,10.6,7.5,19.1,10,7,13.1,0.4471,49159,49430,Maine-et-Loire,"Huillé, Maine-et-Loire, France"
Le Lion-d'Angers,1981,1071,3105,2500,1000,3848,10.9,7.1,17,11.4,8,14.4,0.4444,49176,49220,Maine-et-Loire,"Le Lion-d'Angers, Maine-et-Loire, France"
Loiré,1797,822,3140,1438,575,2656,9.5,5.3,16.5,9.6,7.6,14.9,0.4013,49178,49440,Maine-et-Loire,"Loiré, Maine-et-Loire, France"
Longué-Jumelles,1812,1151,2418,1690,683,2972,9.1,6.3,15.9,9.8,7.3,13.8,0.404,49180,49160,Maine-et-Loire,"Longué-Jumelles, Maine-et-Loire, France"
Louresse-Rochemenier,2072,1269,4144,2013,887,3168,11.5,8,20.3,10.8,5.9,13.6,0.408,49182,49700,Maine-et-Loire,"Louresse-Rochemenier, Maine-et-Loire, France"
Le Louroux-Béconnais,1939,995,3386,2144,858,3187,10.6,8.6,14.9,11.1,8.5,17.6,0.4708,49183,49370,Maine-et-Loire,"Le Louroux-Béconnais, Maine-et-Loire, France"
Marcé,2365,1624,3153,2130,1130,3459,10.4,8.4,14,11.8,10,16.2,0.4902,49188,49140,Maine-et-Loire,"Marcé, Maine-et-Loire, France"
Maulévrier,2641,2061,3141,1972,822,2930,11.2,8,19.3,9.7,6.3,12.6,0.4243,49192,49360,Maine-et-Loire,"Maulévrier, Maine-et-Loire, France"
Le May-sur-Èvre,2461,1953,3276,1833,751,2841,11.8,8,19.4,12.3,8.5,15.6,0.4694,49193,49122,Maine-et-Loire,"Le May-sur-Èvre, Maine-et-Loire, France"
Mazé-Milon,2621,1285,5243,2284,1030,3596,11.5,8.2,17.4,12.1,9.7,17.2,0.5782,49194,49140,Maine-et-Loire,"Mazé-Milon, Maine-et-Loire, France"
Mazières-en-Mauges,2575,2189,3182,2390,956,3273,12,9,18,9.8,6.6,12.3,0.4077,49195,49280,Maine-et-Loire,"Mazières-en-Mauges, Maine-et-Loire, France"
Longuenée-en-Anjou,2724,1605,3546,2788,1269,3917,10.4,8.4,15.2,13.9,10.2,19.3,0.5298,49200,49220,Maine-et-Loire,"Longuenée-en-Anjou, Maine-et-Loire, France"
La Ménitré,2332,1252,4663,2118,902,3700,11.5,8.2,18.8,11.6,9.5,17.7,0.4633,49201,49250,Maine-et-Loire,"La Ménitré, Maine-et-Loire, France"
Miré,1882,1005,2379,1574,654,2735,11,6.5,19.5,10,7.1,13.9,0.4961,49205,49330,Maine-et-Loire,"Miré, Maine-et-Loire, France"
Montigné-lès-Rairies,1870,897,2256,1697,679,2666,10.6,7.4,18.8,9.4,6,11.3,0.4326,49209,49430,Maine-et-Loire,"Montigné-lès-Rairies, Maine-et-Loire, France"
Montilliers,2178,1144,3213,1662,665,2563,12,7.9,20,9.8,6.6,12.2,0.4423,49211,49310,Maine-et-Loire,"Montilliers, Maine-et-Loire, France"
Montreuil-Bellay,1436,621,2435,1696,956,2567,10,6.7,17.2,10,8,13.8,0.5148,49215,49260,Maine-et-Loire,"Montreuil-Bellay, Maine-et-Loire, France"
Montreuil-sur-Loir,2352,1678,3128,2418,1051,3609,10.4,8.4,14,11.7,9.8,15,0.4561,49216,49140,Maine-et-Loire,"Montreuil-sur-Loir, Maine-et-Loire, France"
Montreuil-sur-Maine,1861,918,3117,2158,1092,3650,10.3,8.4,14.4,12.2,9.6,18.5,0.4347,49217,49220,Maine-et-Loire,"Montreuil-sur-Maine, Maine-et-Loire, France"
Montrevault-sur-Èvre,1785,1096,2304,1674,670,2872,11.5,7,19.3,9.8,6.9,13,0.438,49218,49110,Maine-et-Loire,"Montrevault-sur-Èvre, Maine-et-Loire, France"
Montsoreau,1813,1059,2509,2264,1048,4528,,,,9.6,8.1,11,0.4687,49219,49730,Maine-et-Loire,"Montsoreau, Maine-et-Loire, France"
