ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Cheix-en-Retz,2984,2047,4140,2746,1098,3698,12.9,8.6,16.6,13.2,8.0,16.6,46.66,44039,Loire-Atlantique,"Cheix-en-Retz, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,612.75,627.0,7353.0,7524.0,220.59,225.72,149200,137300,6865.0,7460.0,10984.0,11936.0,147.06,150.48,746.0,686.5,2941.2,3009.6,1372.36392,1404.2793599999998,50,0,200,168596.0,155149.0,0.04361313435668699,0.048495317404559486,2142.95392,2179.99936,0.030902548577664953,0.03444431249959716
La Chevrolière,3007,2114,3721,2550,1173,3390,13.9,9.2,18.1,12.9,9.2,15.3,37.46,44041,Loire-Atlantique,"La Chevrolière, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,660.25,612.75,7923.0,7353.0,237.69,220.59,150350,127500,6375.0,7517.5,10200.0,12028.0,158.46,147.06,751.75,637.5,3169.2,2941.2,1187.18232,1101.77352,50,0,200,169895.5,144075.0,0.04663454888446133,0.05103591879229568,1974.87232,1872.3635199999999,0.03501050751785656,0.038040162970674994
Clisson,3598,2241,4621,3209,1555,5039,13.2,9.9,17.0,12.0,7.8,15.8,39.13,44043,Loire-Atlantique,"Clisson, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,627.0,570.0,7524.0,6840.0,225.72,205.2,179900,160450,8022.5,8995.0,12836.0,14392.0,150.48,136.8,899.5,802.25,3009.6,2736.0,1177.65648,1070.5968,50,0,200,203287.0,181308.5,0.03701171250498064,0.037725754721924236,1953.3764800000001,1825.7968,0.027402753348713886,0.02765564328203035
Conquereuil,1748,1131,2711,1565,628,3078,9.8,6.2,15.6,9.9,6.0,14.0,36.38,44044,Loire-Atlantique,"Conquereuil, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,465.50000000000006,470.25,5586.000000000001,5643.0,167.58,169.29,87400,78250,3912.5,4370.0,6260.0,6992.0,111.72000000000003,112.86,437.0,391.25,2234.4000000000005,2257.2,812.8747200000003,821.16936,50,0,200,98762.0,88422.5,0.056560215467487504,0.06381859820746982,1530.4547200000002,1540.4593599999998,0.04106382292784675,0.04639702157256355
Cordemais,2322,1052,3743,2588,1420,4341,12.4,8.7,16.6,13.2,8.2,16.7,35.29,44045,Loire-Atlantique,"Cordemais, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,589.0,627.0,7068.0,7524.0,212.04,225.72,116100,129400,6470.0,5805.0,10352.0,9288.0,141.36,150.48,580.5,647.0,2827.2,3009.6,997.7188799999999,1062.08784,50,0,200,131193.0,146222.0,0.05387482563856303,0.05145600525228762,1759.7588799999999,1837.80784,0.040461313637160524,0.03888739150059499
Corsept,2271,908,3602,2831,1380,3994,13.7,9.8,20.7,14.3,9.9,18.2,44.87,44046,Loire-Atlantique,"Corsept, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,650.75,679.25,7809.0,8151.0,234.26999999999998,244.53,113550,141550,7077.5,5677.5,11324.0,9084.0,156.18,163.02,567.75,707.75,3123.6,3260.4,1401.55932,1462.94148,50,0,200,128311.5,159951.5,0.060859704703007916,0.05095919700659262,2185.82932,2257.47148,0.043824370224025126,0.036845722109514444
Couëron,3143,2116,4416,2914,1470,4333,12.7,9.7,18.0,13.1,9.6,17.1,47.25,44047,Loire-Atlantique,"Couëron, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,603.25,622.25,7239.0,7467.0,217.17,224.01,157150,145700,7285.0,7857.5,11656.0,12572.0,144.78,149.34,785.75,728.5,2895.6,2986.8,1368.171,1411.2630000000001,50,0,200,177579.5,164641.0,0.040764840536210545,0.045353223073232064,2135.341,2185.273,0.02874013610805301,0.032080265547463876
Couffé,2463,1380,4435,2141,908,3136,12.6,8.7,16.5,12.4,9.0,15.7,42.02,44048,Loire-Atlantique,"Couffé, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,598.5,589.0,7182.0,7068.0,215.45999999999998,212.04,123150,107050,5352.5,6157.5,8564.0,9852.0,143.64000000000001,141.36,615.75,535.25,2872.8,2827.2,1207.15056,1187.98944,50,0,200,139159.5,120966.5,0.05160984338115616,0.05842939987517205,1972.61056,1950.02944,0.03743466626425073,0.04230899100164095
Le Croisic,4565,2432,7543,4789,2296,8277,13.3,8.6,21.3,14.7,11.8,19.1,37.49,44049,Loire-Atlantique,"Le Croisic, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,631.75,698.25,7581.0,8379.0,227.42999999999998,251.37,228250,239450,11972.5,11412.5,19156.0,18260.0,151.62,167.58,1141.25,1197.25,3032.4,3351.6,1136.8467600000001,1256.51484,50,0,200,257922.5,270578.5,0.029392550087720147,0.030966983703435418,1914.2767600000002,2057.88484,0.021970643274627066,0.02336148348815593
Crossac,2578,1586,3523,2387,955,3537,11.7,9.6,20.3,11.3,7.5,15.2,43.96,44050,Loire-Atlantique,"Crossac, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,555.75,536.75,6669.0,6441.0,200.07,193.23,128900,119350,5967.5,6445.0,9548.0,10312.0,133.38,128.82,644.5,596.75,2667.6,2576.4,1172.67696,1132.58544,50,0,200,145657.0,134865.5,0.04578564710243929,0.04775869291998324,1922.74696,1875.81544,0.03258513521492273,0.033849906462364354
