ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Orvault,3043,1983,4592,3514,2066,5371,13.3,10.1,20.6,11.5,9.1,15.2,3278.5,2024.5,4981.5,12.4,9.6,17.9,5.24,3.93,4.54,0.4441,44114,44700,Loire-Atlantique,"Orvault, Loire-Atlantique, France",0.52,9.29,
Oudon,2855,1459,4710,2416,1161,3729,12.3,9.4,16.7,12.3,9.1,16.2,2635.5,1310,4219.5,12.3,9.25,16.45,5.17,6.11,5.60,0.4033,44115,44521,Loire-Atlantique,"Oudon, Loire-Atlantique, France",0.418,4.04,
Paimbœuf,2227,891,3609,2262,905,3554,12.2,8.3,20.3,13.5,8.8,17.3,2244.5,898,3581.5,12.85,8.55,18.8,6.57,7.16,6.87,0.4842,44116,44560,Loire-Atlantique,"Paimbœuf, Loire-Atlantique, France",0.293,-3.63,
Le Pallet,2566,1863,3563,2583,1033,4013,12.7,9.3,17.1,12.9,8.4,17,2574.5,1448,3788,12.8,8.85,17.05,5.94,5.99,5.97,0.3879,44117,44330,Loire-Atlantique,"Le Pallet, Loire-Atlantique, France",0.421,4.26,
Pannecé,2422,1304,4677,1831,732,2967,9.5,5.9,14.8,10.1,7.3,13.8,2126.5,1018,3822,9.8,6.6,14.3,4.71,6.62,5.53,0.3446,44118,44440,Loire-Atlantique,"Pannecé, Loire-Atlantique, France",0.381,8.35,
Paulx,2705,1425,3706,2165,929,3355,11.4,9.3,19,11.8,7.6,14.9,2435,1177,3530.5,11.6,8.45,16.95,5.06,6.54,5.72,0.3035,44119,44270,Loire-Atlantique,"Paulx, Loire-Atlantique, France",0.382,3.24,
Le Pellerin,2770,1484,3507,2611,1206,4179,12.7,9.8,20.1,12.5,8.7,16.4,2690.5,1345,3843,12.6,9.25,18.25,5.50,5.74,5.62,0.4782,44120,44640,Loire-Atlantique,"Le Pellerin, Loire-Atlantique, France",0.407,5.64,
Petit-Auverné,1750,955,2653,1787,715,3575,9.4,5.2,16.9,10.2,7.3,13.1,1768.5,835,3114,9.8,6.25,15,6.45,6.85,6.65,0.2984,44121,44670,Loire-Atlantique,"Petit-Auverné, Loire-Atlantique, France",0.209,1.86,
Petit-Mars,3381,2056,4847,2399,1125,3564,12.8,9,17.5,12.9,9.1,16.1,2890,1590.5,4205.5,12.85,9.05,16.8,4.54,6.45,5.34,0.4404,44122,44390,Loire-Atlantique,"Petit-Mars, Loire-Atlantique, France",0.441,7.21,
Pierric,1734,1117,2628,1480,592,2392,10.7,8.6,18.3,11,8.1,15.5,1607,854.5,2510,10.85,8.35,16.9,7.40,8.92,8.10,0.3339,44123,44290,Loire-Atlantique,"Pierric, Loire-Atlantique, France",0.313,2.85,
Le Pin,1855,892,3200,1441,577,2846,9.1,5.2,14.2,9.9,7.1,12.2,1648,734.5,3023,9.5,6.15,13.2,5.89,8.24,6.92,0.3357,44124,44540,Loire-Atlantique,"Le Pin, Loire-Atlantique, France",0.302,7.66,
Piriac-sur-Mer,4182,2134,7253,4901,2338,9794,12.7,8.6,18.1,12.6,7.7,15.9,4541.5,2236,8523.5,12.65,8.15,17,3.64,3.09,3.34,0.3634,44125,44420,Loire-Atlantique,"Piriac-sur-Mer, Loire-Atlantique, France",0.342,17.78,
La Plaine-sur-Mer,4369,2280,6617,3884,1880,6916,13.6,9.3,19.4,14,11.5,18.7,4126.5,2080,6766.5,13.8,10.4,19.05,3.74,4.33,4.01,0.3926,44126,44770,Loire-Atlantique,"La Plaine-sur-Mer, Loire-Atlantique, France",0.395,10.88,
La Planche,2280,1721,3146,2068,827,3088,11.5,8.5,18.3,11.2,6.8,13.8,2174,1274,3117,11.35,7.65,16.05,6.05,6.50,6.26,0.3966,44127,44140,Loire-Atlantique,"La Planche, Loire-Atlantique, France",0.427,7.36,
Plessé,1945,1401,2516,1776,710,3120,11.4,6.7,20.6,10.8,7.6,13.8,1860.5,1055.5,2818,11.1,7.15,17.2,7.03,7.30,7.16,0.356,44128,44630,Loire-Atlantique,"Plessé, Loire-Atlantique, France",0.378,0.76,
Pontchâteau,2555,1491,3567,2465,1095,3670,12.2,8.1,20.6,13.4,8.5,17.5,2510,1293,3618.5,12.8,8.3,19.05,5.73,6.52,6.12,0.4159,44129,44160,Loire-Atlantique,"Pontchâteau, Loire-Atlantique, France",0.453,5.47,
Pont-Saint-Martin,3241,2568,4159,2877,1200,4306,13.9,9.9,18.8,13.4,9.6,17.4,3059,1884,4232.5,13.65,9.75,18.1,5.15,5.59,5.35,0.4996,44130,44860,Loire-Atlantique,"Pont-Saint-Martin, Loire-Atlantique, France",0.503,18.12,
Pornic,5673,3105,8819,5195,2347,10045,13.6,10,20.1,14,11,18.6,5434,2726,9432,13.8,10.5,19.35,2.88,3.23,3.05,0.3545,44131,44210,Loire-Atlantique,"Pornic, Loire-Atlantique, France",0.503,25.02,
Pornichet,6082,3305,10160,5999,2720,11400,14.5,9.1,23.2,16,11,20.9,6040.5,3012.5,10780,15.25,10.05,22.05,2.86,3.20,3.03,0.3516,44132,44380,Loire-Atlantique,"Pornichet, Loire-Atlantique, France",0.451,17.37,
Port-st-Père,2794,1846,3379,2686,1074,3802,12.5,8.8,19.2,12.9,8.9,16.1,2740,1460,3590.5,12.7,8.85,17.65,5.37,5.76,5.56,0.4254,44133,44710,Loire-Atlantique,"Port-st-Père, Loire-Atlantique, France",0.421,4.67,
Pouillé-les-Côteaux,1964,1123,3928,2148,897,3299,9.2,5.7,14.3,9.8,6.5,13.8,2056,1010,3613.5,9.5,6.1,14.05,5.62,5.47,5.54,0.3835,44134,44522,Loire-Atlantique,"Pouillé-les-Côteaux, Loire-Atlantique, France",0.378,2.44,
Le Pouliguen,5087,2915,8390,6155,2794,11769,14.9,9.7,23.9,15.6,12.5,20.2,5621,2854.5,10079.5,15.25,11.1,22.05,3.51,3.04,3.26,0.3442,44135,44510,Loire-Atlantique,"Le Pouliguen, Loire-Atlantique, France",0.297,-9.14,
Préfailles,4668,1909,6258,5019,2035,10038,13.6,9.3,19.3,14,11,18.7,4843.5,1972,8148,13.8,10.15,19,3.50,3.35,3.42,0.3349,44136,44770,Loire-Atlantique,"Préfailles, Loire-Atlantique, France",0.231,1.88,
Prinquiau,2523,1521,3428,2293,968,3496,12.6,8.5,16.3,13.7,9,18.1,2408,1244.5,3462,13.15,8.75,17.2,5.99,7.17,6.55,0.4141,44137,44260,Loire-Atlantique,"Prinquiau, Loire-Atlantique, France",0.431,2.33,
Puceul,1797,1143,2960,1978,829,2717,11.8,8.1,15.9,11.9,8.6,15.9,1887.5,986,2838.5,11.85,8.35,15.9,7.88,7.22,7.53,0.3832,44138,44390,Loire-Atlantique,"Puceul, Loire-Atlantique, France",0.338,0.45,
Quilly,2527,1489,3533,1812,762,3156,11.1,9.1,17.9,11.7,8.5,16.4,2169.5,1125.5,3344.5,11.4,8.8,17.15,5.27,7.75,6.31,0.3822,44139,44750,Loire-Atlantique,"Quilly, Loire-Atlantique, France",0.387,11.75,
La Regrippière,1852,1081,3324,1918,767,2859,11,7.9,19.4,10,6.7,13.3,1885,924,3091.5,10.5,7.3,16.35,7.13,6.26,6.68,0.4149,44140,44330,Loire-Atlantique,"La Regrippière, Loire-Atlantique, France",0.391,2.23,
La Remaudière,2624,1802,4368,2023,809,3341,10.6,7.6,18.6,10.5,7,13.8,2323.5,1305.5,3854.5,10.55,7.3,16.2,4.85,6.23,5.45,0.3726,44141,44430,Loire-Atlantique,"La Remaudière, Loire-Atlantique, France",0.38,0.31,
Remouillé,2341,1716,3065,2233,956,3343,12.8,9.3,18,12.2,8.9,16.6,2287,1336,3204,12.5,9.1,17.3,6.56,6.56,6.56,0.4171,44142,44140,Loire-Atlantique,"Remouillé, Loire-Atlantique, France",0.397,1.74,
Rezé,2986,2122,4338,3118,1554,4975,13.7,10.4,21.4,12,10.2,15,3052,1838,4656.5,12.85,10.3,18.2,5.51,4.62,5.05,0.497,44143,44400,Loire-Atlantique,"Rezé, Loire-Atlantique, France",0.524,7.38,
Riaillé,2550,1359,3925,1711,685,2647,9.5,5.3,16.3,9.8,6.6,13,2130.5,1022,3286,9.65,5.95,14.65,4.47,6.87,5.44,0.3278,44144,44440,Loire-Atlantique,"Riaillé, Loire-Atlantique, France",0.364,1.68,
Rouans,2565,1634,3683,2606,1042,4182,13,10.1,18.5,12.6,8.7,16.4,2585.5,1338,3932.5,12.8,9.4,17.45,6.08,5.80,5.94,0.4141,44145,44640,Loire-Atlantique,"Rouans, Loire-Atlantique, France",0.45,12.32,
Rougé,1896,1011,2724,1424,570,2693,10.4,7.1,14,9.9,6.5,13.2,1660,790.5,2708.5,10.15,6.8,13.6,6.58,8.34,7.34,0.3156,44146,44660,Loire-Atlantique,"Rougé, Loire-Atlantique, France",0.304,-3.8,
Ruffigné,2265,1475,3139,1278,511,2174,10.6,6.1,19,10.6,6.9,14.5,1771.5,993,2656.5,10.6,6.5,16.75,5.62,9.95,7.18,0.3207,44148,44660,Loire-Atlantique,"Ruffigné, Loire-Atlantique, France",0.209,-0.42,
Saffré,2629,1431,4115,2055,854,3315,10.7,7.4,17.7,10.6,7,13.6,2342,1142.5,3715,10.65,7.2,15.65,4.88,6.19,5.46,0.328,44149,44390,Loire-Atlantique,"Saffré, Loire-Atlantique, France",0.443,5.57,
Saint-Aignan-Grandlieu,3200,2254,4217,2647,1156,3829,12.5,9.6,16.2,13.4,9.5,17.3,2923.5,1705,4023,12.95,9.55,16.75,4.69,6.07,5.32,0.4566,44150,44860,Loire-Atlantique,"Saint-Aignan-Grandlieu, Loire-Atlantique, France",0.426,2.02,
Saint-André-des-Eaux,3765,2039,5126,3722,1557,6018,14,9.5,19.9,14.4,9.2,18.9,3743.5,1798,5572,14.2,9.35,19.4,4.46,4.64,4.55,0.4127,44151,44117,Loire-Atlantique,"Saint-André-des-Eaux, Loire-Atlantique, France",0.472,9.35,
Sainte-Anne-sur-Brivet,2556,1494,3564,2540,1233,4304,11.6,9.1,20,10.4,6.8,12.8,2548,1363.5,3934,11,7.95,16.4,5.45,4.91,5.18,0.5013,44152,44160,Loire-Atlantique,"Sainte-Anne-sur-Brivet, Loire-Atlantique, France",0.389,1.01,
Saint-Aubin-des-Châteaux,1761,913,2778,1607,667,3004,10.2,5.9,17.6,10.5,7.9,13.7,1684,790,2891,10.35,6.9,15.65,6.95,7.84,7.38,0.2932,44153,44110,Loire-Atlantique,"Saint-Aubin-des-Châteaux, Loire-Atlantique, France",0.295,-1.58,
Saint-Brevin-les-Pins,4517,2680,6697,3958,1891,6475,13.7,9.1,19.5,14.2,11,18.5,4237.5,2285.5,6586,13.95,10.05,19,3.64,4.31,3.95,0.3912,44154,44250,Loire-Atlantique,"Saint-Brevin-les-Pins, Loire-Atlantique, France",0.436,6.29,
Saint-Colomban,2274,1683,3191,2316,926,3501,13.9,9.9,19.5,12.4,9,14.8,2295,1304.5,3346,13.15,9.45,17.15,7.34,6.42,6.88,0.3953,44155,44310,Loire-Atlantique,"Saint-Colomban, Loire-Atlantique, France",0.428,4.98,
Corcoué-sur-Logne,2217,1615,3066,1926,800,2968,11.5,9.2,19.2,11.3,7.7,14.6,2071.5,1207.5,3017,11.4,8.45,16.9,6.22,7.04,6.60,0.3856,44156,44650,Loire-Atlantique,"Corcoué-sur-Logne, Loire-Atlantique, France",0.42,11.7,
Saint-Étienne-de-Mer-Morte,2652,1424,3599,2046,818,3279,11.2,9,18.7,11.1,7.1,14.1,2349,1121,3439,11.15,8.05,16.4,5.07,6.51,5.70,0.3334,44157,44270,Loire-Atlantique,"Saint-Étienne-de-Mer-Morte, Loire-Atlantique, France",0.36,2.86,
Saint-Étienne-de-Montluc,3054,1374,3949,2883,1153,4440,14.2,11.4,20.8,14.6,10.5,20.7,2968.5,1263.5,4194.5,14.4,10.95,20.75,5.58,6.08,5.82,0.3826,44158,44360,Loire-Atlantique,"Saint-Étienne-de-Montluc, Loire-Atlantique, France",0.482,11.32,
Saint-Fiacre-sur-Maine,3323,1868,5078,2764,1497,4452,13.5,8.9,18.5,13,9.2,17.1,3043.5,1682.5,4765,13.25,9.05,17.8,4.88,5.64,5.22,0.351,44159,44690,Loire-Atlantique,"Saint-Fiacre-sur-Maine, Loire-Atlantique, France",0.37,5.06,
Saint-Gildas-des-Bois,2533,1471,3543,1931,772,3142,10.8,7.9,17.6,11,8.8,13.4,2232,1121.5,3342.5,10.9,8.35,15.5,5.12,6.84,5.86,0.3476,44161,44530,Loire-Atlantique,"Saint-Gildas-des-Bois, Loire-Atlantique, France",0.381,0.37,
Saint-Herblain,2830,1825,4217,3053,1783,4658,13.8,10.2,22,12.2,10.3,15.8,2941.5,1804,4437.5,13,10.25,18.9,5.85,4.80,5.30,0.4626,44162,44800,Loire-Atlantique,"Saint-Herblain, Loire-Atlantique, France",0.53,8.49,
Vair-sur-Loire,1937,1009,3875,2122,849,3382,11.4,7.9,20.5,11.7,8.9,16,2029.5,929,3628.5,11.55,8.4,18.25,7.06,6.62,6.83,0.367,44163,44150,Loire-Atlantique,"Vair-sur-Loire, Loire-Atlantique, France",0.434,5.75,
Saint-Hilaire-de-Chaléons,2589,1506,3437,2297,919,3523,11.4,9.4,19.7,11.8,8,14.9,2443,1212.5,3480,11.6,8.7,17.3,5.28,6.16,5.70,0.3698,44164,44680,Loire-Atlantique,"Saint-Hilaire-de-Chaléons, Loire-Atlantique, France",0.397,4.9,
Saint-Hilaire-de-Clisson,2487,1778,3238,2314,926,3139,12.8,9.3,17.9,12,8.8,15.4,2400.5,1352,3188.5,12.4,9.05,16.65,6.18,6.22,6.20,0.3499,44165,44190,Loire-Atlantique,"Saint-Hilaire-de-Clisson, Loire-Atlantique, France",0.421,6.04,
Saint-Jean-de-Boiseau,3087,2163,4016,2737,1206,4035,14.3,11,18.5,16.1,11.1,21.6,2912,1684.5,4025.5,15.2,11.05,20.05,5.56,7.06,6.26,0.5145,44166,44640,Loire-Atlantique,"Saint-Jean-de-Boiseau, Loire-Atlantique, France",0.447,5.83,
Saint-Joachim,2475,1289,3202,2230,1005,3681,10.4,5.9,17.7,11.7,7,17.7,2352.5,1147,3441.5,11.05,6.45,17.7,5.04,6.30,5.64,0.4924,44168,44720,Loire-Atlantique,"Saint-Joachim, Loire-Atlantique, France",0.382,3.57,
Saint-Julien-de-Concelles,3298,2197,4367,2737,1145,4116,13.2,9.9,17.4,13.6,8.8,16.2,3017.5,1671,4241.5,13.4,9.35,16.8,4.80,5.96,5.33,0.4339,44169,44450,Loire-Atlantique,"Saint-Julien-de-Concelles, Loire-Atlantique, France",0.493,12.78,
Saint-Julien-de-Vouvantes,1791,850,2882,1230,492,2459,11.1,8.1,18,9.2,6.4,13.5,1510.5,671,2670.5,10.15,7.25,15.75,7.44,8.98,8.06,0.2886,44170,44670,Loire-Atlantique,"Saint-Julien-de-Vouvantes, Loire-Atlantique, France",0.274,-1.03,
Saint-Léger-les-Vignes,3224,2565,4312,2677,1285,3779,13.1,9.3,17.4,13.2,8.8,15.9,2950.5,1925,4045.5,13.15,9.05,16.65,4.88,5.92,5.35,0.4342,44171,44710,Loire-Atlantique,"Saint-Léger-les-Vignes, Loire-Atlantique, France",0.442,19.03,
Sainte-Luce-sur-Loire,3566,2579,4737,3226,1862,4766,13.1,10.2,19.3,11.8,10,15.3,3396,2220.5,4751.5,12.45,10.1,17.3,4.41,4.39,4.40,0.4285,44172,44980,Loire-Atlantique,"Sainte-Luce-sur-Loire, Loire-Atlantique, France",0.505,6.43,
Saint-Lumine-de-Clisson,2484,1869,3303,2351,1284,3579,13,9.4,18.2,12.8,9.3,17.4,2417.5,1576.5,3441,12.9,9.35,17.8,6.28,6.53,6.40,0.4596,44173,44190,Loire-Atlantique,"Saint-Lumine-de-Clisson, Loire-Atlantique, France",0.403,0.43,
Saint-Lumine-de-Coutais,2708,1459,3664,2179,906,3135,11.2,9,18.8,11.2,7.3,14.7,2443.5,1182.5,3399.5,11.2,8.15,16.75,4.96,6.17,5.50,0.3558,44174,44310,Loire-Atlantique,"Saint-Lumine-de-Coutais, Loire-Atlantique, France",0.415,12.31,
Saint-Lyphard,3535,2270,4799,3160,1264,5135,11.9,7.8,17,13,8.3,17,3347.5,1767,4967,12.45,8.05,17,4.04,4.94,4.46,0.4358,44175,44410,Loire-Atlantique,"Saint-Lyphard, Loire-Atlantique, France",0.454,11.64,
Saint-Malo-de-Guersac,2559,1287,3308,2433,1027,3838,11.7,9,20.8,11.2,7.5,15.1,2496,1157,3573,11.45,8.25,17.95,5.49,5.52,5.50,0.3903,44176,44550,Loire-Atlantique,"Saint-Malo-de-Guersac, Loire-Atlantique, France",0.382,1.45,
Saint-Mars-de-Coutais,2693,1471,3630,2354,942,3422,12.5,9.2,17.5,13,9.1,16.2,2523.5,1206.5,3526,12.75,9.15,16.85,5.57,6.63,6.06,0.3963,44178,44680,Loire-Atlantique,"Saint-Mars-de-Coutais, Loire-Atlantique, France",0.379,0.53,
Saint-Mars-du-Désert,2924,1473,4803,2535,1076,3760,12.9,9.1,17.6,12.8,9,16,2729.5,1274.5,4281.5,12.85,9.05,16.8,5.29,6.06,5.65,0.5036,44179,44850,Loire-Atlantique,"Saint-Mars-du-Désert, Loire-Atlantique, France",0.456,13.54,
Vallons-de-l'Erdre,2520,1320,4232,1679,672,2940,9.5,5.4,16.1,10,7.3,13.9,2099.5,996,3586,9.75,6.35,15,4.52,7.15,5.57,0.3172,44180,44540,Loire-Atlantique,"Vallons-de-l'Erdre, Loire-Atlantique, France",0.39,0.55,
Saint-Michel-Chef-Chef,4439,2582,6507,3955,1592,6830,13.6,10,20.7,13.8,10.8,18.4,4197,2087,6668.5,13.7,10.4,19.55,3.68,4.19,3.92,0.3624,44182,44730,Loire-Atlantique,"Saint-Michel-Chef-Chef, Loire-Atlantique, France",0.411,14.69,
Saint-Molf,3591,2356,4951,3175,1270,4835,11.9,7.8,17,13,7.8,15.9,3383,1813,4893,12.45,7.8,16.45,3.98,4.91,4.42,0.4361,44183,44350,Loire-Atlantique,"Saint-Molf, Loire-Atlantique, France",0.406,11.68,
Saint-Nazaire,3030,1912,4383,3182,1678,5229,12.7,8.1,20.5,14.6,9.9,19.7,3106,1795,4806,13.65,9,20.1,5.03,5.51,5.27,0.3877,44184,44600,Loire-Atlantique,"Saint-Nazaire, Loire-Atlantique, France",0.478,4.87,
Saint-Nicolas-de-Redon,2658,1209,3803,1826,730,3060,11.5,8.7,16.8,11.1,7.3,14.6,2242,969.5,3431.5,11.3,8,15.7,5.19,7.29,6.05,0.3388,44185,44460,Loire-Atlantique,"Saint-Nicolas-de-Redon, Loire-Atlantique, France",0.346,4.42,
Sainte-Pazanne,2636,1603,3378,2701,1146,3672,12.9,9.4,19.8,12.7,8.9,15.8,2668.5,1374.5,3525,12.8,9.15,17.8,5.87,5.64,5.76,0.3817,44186,44680,Loire-Atlantique,"Sainte-Pazanne, Loire-Atlantique, France",0.476,8.26,
Saint-Père-en-Retz,2420,1138,3588,2787,1115,4374,11.6,9.6,20,12.2,8.2,16.5,2603.5,1126.5,3981,11.9,8.9,18.25,5.75,5.25,5.48,0.364,44187,44320,Loire-Atlantique,"Saint-Père-en-Retz, Loire-Atlantique, France",0.398,3.25,
Saint-Philbert-de-Grand-Lieu,2908,1960,3609,2637,1241,3866,12.5,9.7,17.8,12.7,9.1,16.2,2772.5,1600.5,3737.5,12.6,9.4,17,5.16,5.78,5.45,0.4242,44188,44310,Loire-Atlantique,"Saint-Philbert-de-Grand-Lieu, Loire-Atlantique, France",0.485,6.11,
Sainte-Reine-de-Bretagne,2563,1532,4247,2346,938,3736,11.7,9.6,20.3,11.1,7.4,13,2454.5,1235,3991.5,11.4,8.5,16.65,5.48,5.68,5.57,0.4371,44189,44160,Loire-Atlantique,"Sainte-Reine-de-Bretagne, Loire-Atlantique, France",0.382,3.99,
Saint-Sébastien-sur-Loire,3471,2214,5104,3354,1847,5156,13,10,20.2,11.4,9.6,13.5,3412.5,2030.5,5130,12.2,9.8,16.85,4.49,4.08,4.29,0.5322,44190,44230,Loire-Atlantique,"Saint-Sébastien-sur-Loire, Loire-Atlantique, France",0.521,5.59,
Saint-Viaud,2262,905,3785,2630,1110,4256,11.6,9.5,20.1,11.7,7.8,15.7,2446,1007.5,4020.5,11.65,8.65,17.9,6.15,5.34,5.72,0.3616,44192,44320,Loire-Atlantique,"Saint-Viaud, Loire-Atlantique, France",0.447,15.83,
Saint-Vincent-des-Landes,1756,926,2801,1394,558,2529,9.7,5.7,15.3,10.9,6.8,14.4,1575,742,2665,10.3,6.25,14.85,6.63,9.38,7.85,0.3123,44193,44590,Loire-Atlantique,"Saint-Vincent-des-Landes, Loire-Atlantique, France",0.341,0.39,
Sautron,3859,2376,4970,3721,2313,5411,13.6,10.7,19.2,13.3,9.4,18.4,3790,2344.5,5190.5,13.45,10.05,18.8,4.23,4.29,4.26,0.3932,44194,44880,Loire-Atlantique,"Sautron, Loire-Atlantique, France",0.462,7.82,
Savenay,2595,1403,3835,2456,1073,3865,12.7,9.4,19.8,13.6,9.4,17.9,2525.5,1238,3850,13.15,9.4,18.85,5.87,6.64,6.25,0.3859,44195,44260,Loire-Atlantique,"Savenay, Loire-Atlantique, France",0.446,12.04,
Sévérac,2562,1235,3683,1849,740,3357,9.8,5.7,15.4,9.4,5.6,14.2,2205.5,987.5,3520,9.6,5.65,14.8,4.59,6.10,5.22,0.5013,44196,44530,Loire-Atlantique,"Sévérac, Loire-Atlantique, France",0.339,3.99,
Sion-les-Mines,1739,930,2748,1367,547,2734,10.2,5.8,17.4,10.5,6.5,14.6,1553,738.5,2741,10.35,6.15,16,7.04,9.22,8.00,0.3154,44197,44590,Loire-Atlantique,"Sion-les-Mines, Loire-Atlantique, France",0.283,3.75,
Les Sorinières,3334,2595,4393,3035,1367,4367,13.8,11.2,17,13.4,9.4,17.3,3184.5,1981,4380,13.6,10.3,17.15,4.97,5.30,5.12,0.4698,44198,44840,Loire-Atlantique,"Les Sorinières, Loire-Atlantique, France",0.487,11.53,
Soudan,1856,1013,2625,1445,578,2669,10.5,5.9,18.8,10.1,7.2,12.9,1650.5,795.5,2647,10.3,6.55,15.85,6.79,8.39,7.49,0.3046,44199,44110,Loire-Atlantique,"Soudan, Loire-Atlantique, France",0.32,-1.75,
Soulvache,2326,1582,3223,1331,533,2663,10.3,6.3,17,9.8,7.3,13.3,1828.5,1057.5,2943,10.05,6.8,15.15,5.31,8.84,6.60,0.2867,44200,44660,Loire-Atlantique,"Soulvache, Loire-Atlantique, France",0.184,-3.42,
Sucé-sur-Erdre,3854,2544,5501,3558,1658,6598,13.5,10.3,17.6,14.1,11,16.9,3706,2101,6049.5,13.8,10.65,17.25,4.20,4.76,4.47,0.3582,44201,44240,Loire-Atlantique,"Sucé-sur-Erdre, Loire-Atlantique, France",0.449,7.17,
Teillé,2525,1330,3843,1964,805,3290,11.4,8.7,19.5,11.4,8,15.6,2244.5,1067.5,3566.5,11.4,8.35,17.55,5.42,6.97,6.09,0.336,44202,44440,Loire-Atlantique,"Teillé, Loire-Atlantique, France",0.389,1.96,
Le Temple-de-Bretagne,2148,1453,2999,2469,1163,3659,12.8,9.5,19.9,12.2,8.4,16.9,2308.5,1308,3329,12.5,8.95,18.4,7.15,5.93,6.50,0.3334,44203,44360,Loire-Atlantique,"Le Temple-de-Bretagne, Loire-Atlantique, France",0.393,3.99,
Thouaré-sur-Loire,3333,2511,4316,3165,1843,4750,13.4,10.2,17.4,14,10.2,17.4,3249,2177,4533,13.7,10.2,17.4,4.82,5.31,5.06,0.4773,44204,44470,Loire-Atlantique,"Thouaré-sur-Loire, Loire-Atlantique, France",0.515,12.05,
Les Touches,2669,1376,4186,2190,889,3098,13.2,10,21.5,12.5,7.7,17.6,2429.5,1132.5,3642,12.85,8.85,19.55,5.93,6.85,6.35,0.3672,44205,44390,Loire-Atlantique,"Les Touches, Loire-Atlantique, France",0.391,5.27,
Touvois,2550,1644,3371,1937,775,2994,11.2,9,18.8,10.5,7.1,13.9,2243.5,1209.5,3182.5,10.85,8.05,16.35,5.27,6.50,5.80,0.3689,44206,44650,Loire-Atlantique,"Touvois, Loire-Atlantique, France",0.361,7.92,
Trans-sur-Erdre,2586,1356,4006,1794,718,3031,10.4,6.1,14.4,10.2,6.7,14.1,2190,1037,3518.5,10.3,6.4,14.25,4.83,6.82,5.64,0.3415,44207,44440,Loire-Atlantique,"Trans-sur-Erdre, Loire-Atlantique, France",0.335,5.54,
Treffieux,1721,1014,2911,1563,625,2746,11.1,7.1,18.7,11.2,7.2,15.5,1642,819.5,2828.5,11.15,7.15,17.1,7.74,8.60,8.15,0.369,44208,44170,Loire-Atlantique,"Treffieux, Loire-Atlantique, France",0.326,13.23,
Treillières,3248,2472,4026,3008,1465,4391,13.2,11.2,18.8,12.8,9.6,17,3128,1968.5,4208.5,13,10.4,17.9,4.88,5.11,4.99,0.3699,44209,44119,Loire-Atlantique,"Treillières, Loire-Atlantique, France",0.519,15.99,
Trignac,2534,1585,3359,2546,1124,4048,12.3,8.1,18.8,14.3,12.1,18.2,2540,1354.5,3703.5,13.3,10.1,18.5,5.82,6.74,6.28,0.4446,44210,44570,Loire-Atlantique,"Trignac, Loire-Atlantique, France",0.41,4.61,
La Turballe,4620,2471,7057,4255,1702,7250,13.3,8.8,19.1,13.9,9.4,18.6,4437.5,2086.5,7153.5,13.6,9.1,18.85,3.45,3.92,3.68,0.3824,44211,44420,Loire-Atlantique,"La Turballe, Loire-Atlantique, France",0.363,8,
Vallet,2858,1648,4303,2575,1079,2803,12.8,9.4,18.3,13.3,8.6,17.4,2716.5,1363.5,3553,13.05,9,17.85,5.37,6.20,5.76,0.3389,44212,44330,Loire-Atlantique,"Vallet, Loire-Atlantique, France",0.49,6.38,
Loireauxence,2066,1094,4132,1897,759,3346,9.8,6.6,17.2,9.8,6.7,14.3,1981.5,926.5,3739,9.8,6.65,15.75,5.69,6.20,5.93,0.3562,44213,44370,Loire-Atlantique,"Loireauxence, Loire-Atlantique, France",0.403,-0.41,
Vay,1760,1075,2934,1730,692,2962,11.7,7.9,15.7,10.5,7.7,14.1,1745,883.5,2948,11.1,7.8,14.9,7.98,7.28,7.63,0.3053,44214,44170,Loire-Atlantique,"Vay, Loire-Atlantique, France",0.368,1.17,
Vertou,3668,2027,5389,3489,1598,5559,13.4,10.2,21.1,12.2,10.2,15.7,3578.5,1812.5,5474,12.8,10.2,18.4,4.38,4.20,4.29,0.4275,44215,44120,Loire-Atlantique,"Vertou, Loire-Atlantique, France",0.531,10.46,
Vieillevigne,2246,1608,3044,2137,861,3676,11.5,8.9,20.1,11.5,7.1,14.4,2191.5,1234.5,3360,11.5,8,17.25,6.14,6.46,6.30,0.3604,44216,44116,Loire-Atlantique,"Vieillevigne, Loire-Atlantique, France",0.426,3.76,
Vigneux-de-Bretagne,3163,1831,3971,2854,1355,4580,14.2,10.6,20.9,15.3,11.7,20.4,3008.5,1593,4275.5,14.75,11.15,20.65,5.39,6.43,5.88,0.5356,44217,44360,Loire-Atlantique,"Vigneux-de-Bretagne, Loire-Atlantique, France",0.483,11.99,
Villepot,1888,998,2715,1407,563,2267,10.3,7,15.8,10.2,6.5,13,1647.5,780.5,2491,10.25,6.75,14.4,6.55,8.70,7.47,0.2704,44218,44110,Loire-Atlantique,"Villepot, Loire-Atlantique, France",0.274,3.78,
