ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Thoigné,1268,624,2175,1175,470,2182,11.2,7.5,14.5,9.9,8.4,12.5,1221.5,547,2178.5,10.55,7.95,13.5,10.60,10.11,10.36,0.3771,72354,72260,Sarthe,"Thoigné, Sarthe, France",0.23,0,
Thoiré-sous-Contensor,1623,1016,2312,1204,492,2409,11.1,7.8,16.5,8.4,6.6,11.4,1413.5,754,2360.5,9.75,7.2,13.95,8.21,8.37,8.28,0.3491,72355,72610,Sarthe,"Thoiré-sous-Contensor, Sarthe, France",0.246,38.37,
Thoiré-sur-Dinan,1512,1048,2178,1226,490,2452,10.2,7.4,18.3,9,6.6,12.4,1369,769,2315,9.6,7,15.35,8.10,8.81,8.41,0.4176,72356,72500,Sarthe,"Thoiré-sur-Dinan, Sarthe, France",0.247,-12.72,
Thorée-les-Pins,1742,982,2160,1389,556,2770,10.3,6.5,17.8,9.2,6.1,11.4,1565.5,769,2465,9.75,6.3,14.6,7.10,7.95,7.47,0.4108,72357,72800,Sarthe,"Thorée-les-Pins, Sarthe, France",0.285,2.77,
Thorigné-sur-Dué,1538,1004,2245,1448,579,2367,9.7,6,17.5,9.1,6.7,11.8,1493,791.5,2306,9.4,6.35,14.65,7.57,7.54,7.56,0.3944,72358,72160,Sarthe,"Thorigné-sur-Dué, Sarthe, France",0.302,3.7,
Torcé-en-Vallée,1653,1054,2386,1577,631,2675,10.6,7,15.5,9.1,7.1,11.9,1615,842.5,2530.5,9.85,7.05,13.7,7.70,6.92,7.32,0.4918,72359,72110,Sarthe,"Torcé-en-Vallée, Sarthe, France",0.345,1.07,
Trangé,2511,1439,3466,2181,1131,2927,11.1,8.6,14.3,11.7,9.3,15.3,2346,1285,3196.5,11.4,8.95,14.8,5.30,6.44,5.83,0.4456,72360,72650,Sarthe,"Trangé, Sarthe, France",0.416,20.6,
Tresson,1558,1018,2226,1254,502,2375,9.2,5.7,14.8,9.5,6.8,12.6,1406,760,2300.5,9.35,6.25,13.7,7.09,9.09,7.98,0.411,72361,72440,Sarthe,"Tresson, Sarthe, France",0.242,11.6,
Le Tronchet,1715,1046,2530,1292,519,2488,11,8.7,15.1,10.1,7.9,12,1503.5,782.5,2509,10.55,8.3,13.55,7.70,9.38,8.42,0.3766,72362,72170,Sarthe,"Le Tronchet, Sarthe, France",0.259,6.96,
Saint-Hilaire-le-Lierru,1621,1019,2336,1525,610,2685,9.3,5.8,14.3,9.1,6.8,12,1573,814.5,2510.5,9.2,6.3,13.15,6.88,7.16,7.02,0.403,72363,72160,Sarthe,"Saint-Hilaire-le-Lierru, Sarthe, France",0.31,0.42,
Vaas,1559,1162,2077,1221,488,2442,9.3,5.8,16.7,9.8,7.5,12.4,1390,825,2259.5,9.55,6.65,14.55,7.16,9.63,8.24,0.4242,72364,72500,Sarthe,"Vaas, Sarthe, France",0.243,-8.89,
Valennes,2116,963,3861,1149,459,2297,8.7,6.5,12.2,,,,1632.5,711,3079,4.35,3.25,6.1,4.93,0.00,3.20,0.4274,72366,72320,Sarthe,"Valennes, Sarthe, France",0.204,-5.59,
Vallon-sur-Gée,1597,1226,2050,1131,452,2262,10,6.9,17.8,8.4,5.7,11.8,1364,839,2156,9.2,6.3,14.8,7.51,8.91,8.09,0.4547,72367,72540,Sarthe,"Vallon-sur-Gée, Sarthe, France",0.278,-2.99,
Vancé,1870,820,3338,1135,454,2271,10.8,7.2,16.4,11.4,9.7,15.8,1502.5,637,2804.5,11.1,8.45,16.1,6.93,12.05,8.87,0.3941,72368,72310,Sarthe,"Vancé, Sarthe, France",0.173,-11.69,
